frame,occluded,err_bx,err_by,err_py,err_vis,h_norm,belief_update_mag,weight_updates,hit_ratio,total_hits,total_misses,gravity,bounce,ball_speed
5500,0,0.084415,0.069646,0.028291,0.005471,6.450607,0.075545,175,0.0,0,0,0.0,1.0,5.0
5600,0,0.116989,0.018572,0.007303,0.060412,6.597439,0.045329,178,1.0,1,0,0.0,1.0,5.0
5700,0,0.036565,0.027489,0.001293,0.021632,6.391512,0.076019,182,1.0,1,0,0.0,1.0,5.0
5800,0,0.065796,0.004092,0.00217,0.012408,6.346574,0.074047,185,1.0,1,0,0.0,1.0,5.0
5900,0,0.096749,0.069594,0.000579,0.002352,6.578078,0.060632,188,1.0,2,0,0.0,1.0,5.0
6000,0,0.017994,0.087106,0.002639,0.020807,6.260462,0.097737,190,1.0,2,0,0.0,1.0,5.0
6100,0,0.000836,0.058396,0.001787,0.01024,6.136706,0.094365,193,1.0,2,0,0.0,1.0,5.0
6200,0,0.050664,0.017786,0.017465,0.017237,6.498797,0.070417,196,1.0,3,0,0.0,1.0,5.0
6300,0,0.018077,0.036133,0.00878,0.000825,6.362844,0.061391,196,1.0,3,0,0.0,1.0,5.0
6400,0,0.0299,0.010887,0.011045,0.023811,6.227129,0.084677,198,1.0,3,0,0.007255,0.936626,5.0226
6500,0,0.061454,0.002893,0.021282,0.007469,6.552124,0.049422,199,1.0,4,0,0.007255,0.936626,5.0226
6600,0,0.019861,0.037672,0.000636,0.005931,6.224737,0.059079,201,1.0,4,0,0.007255,0.936626,5.0226
6700,0,0.148133,0.236531,0.020658,0.071857,6.692829,0.019056,204,1.0,4,0,0.007255,0.936626,5.0226
6800,0,0.044819,0.021193,0.01999,0.044264,6.500911,0.038628,208,1.0,4,0,0.007255,0.936626,5.0226
6900,0,0.009065,0.033113,0.012507,0.01739,6.464702,0.026904,209,1.0,4,0,0.007255,0.936626,5.0226
7000,0,0.044047,0.0328,0.009614,0.018075,6.657118,0.021104,210,1.0,4,0,0.007255,0.936626,5.0226
7100,0,0.200031,0.194171,0.005515,0.005929,6.702528,0.013658,213,1.0,4,0,0.007255,0.936626,5.0226
7200,0,0.05597,0.021985,0.016399,0.011403,6.606359,0.04391,216,0.0,0,0,0.007255,0.936626,5.0226
7300,0,0.055885,0.068082,0.008506,0.029447,6.10469,0.163413,219,0.0,0,0,0.009794,0.989493,6.9508
7400,0,0.070022,0.007556,0.016897,0.006712,6.751773,0.02869,222,1.0,1,0,0.009794,0.989493,6.9508
7500,0,0.082893,0.144114,0.019925,0.046648,6.662188,0.088578,226,1.0,1,0,0.009794,0.989493,6.9508
7600,0,0.03616,0.181048,0.002506,0.010118,6.170789,0.056225,229,1.0,1,0,0.045011,1.083173,4.8774
7700,0,0.103693,0.06073,0.030863,0.086396,6.65416,0.072458,232,1.0,1,0,0.045011,1.083173,4.8774
7800,0,0.021334,0.007686,0.007454,0.062239,6.383183,0.354771,236,1.0,1,0,0.045011,1.083173,4.8774
7900,0,0.058689,0.09718,0.018322,0.04523,6.551487,0.045402,239,1.0,1,0,0.045011,1.083173,4.8774
8000,0,0.082761,0.076775,0.000556,0.017076,6.667308,0.040333,242,1.0,1,0,0.045011,1.083173,4.8774
8100,0,0.002293,0.072437,0.037023,0.054035,6.238698,0.1098,246,0.0,0,0,0.045011,1.083173,4.8774
8200,0,0.008212,0.000507,0.027005,0.045218,6.35688,0.060767,249,0.0,0,0,0.045011,1.083173,4.8774
8300,0,0.189213,0.070137,0.006929,0.011894,6.576182,0.088468,252,1.0,1,0,0.045011,1.083173,4.8774
8400,0,0.015186,0.110566,0.017904,0.021278,6.474624,0.077918,256,1.0,1,0,0.045011,1.083173,4.8774
8500,0,0.095691,0.145103,0.12123,0.004534,6.245624,0.980067,259,0.0,0,0,0.045011,1.083173,4.8774
8600,0,0.060852,0.114926,0.024263,0.029356,6.43359,0.06363,262,1.0,1,0,0.045011,1.083173,4.8774
8700,0,0.085943,0.043417,0.02412,0.040465,6.210345,0.155456,266,1.0,1,0,0.045011,1.083173,4.8774
8800,0,0.047735,0.064284,0.041409,0.023466,6.278564,0.068145,269,1.0,1,0,0.045011,1.083173,4.8774
8900,0,0.003254,0.005851,0.054378,0.046578,6.446218,0.10528,272,1.0,2,0,0.045011,1.083173,4.8774
9000,0,0.017358,0.148258,0.014965,0.042528,6.477055,0.13522,276,1.0,2,0,0.045011,1.083173,4.8774
9100,0,0.018169,0.205303,0.003904,0.016894,6.28765,0.083014,279,1.0,2,0,0.045011,1.083173,4.8774
9200,0,0.045147,0.032029,0.003716,0.022023,6.290061,0.062752,282,0.0,0,0,0.045011,1.083173,4.8774
