rally_num,frame,outcome,hit_ratio
266,44046,hit,1.0
267,44292,hit,1.0
268,44495,hit,1.0
269,44669,miss,0.0
270,44669,hit,0.0
271,44936,hit,1.0
272,45223,hit,1.0
273,45458,hit,1.0
274,45652,hit,1.0
275,45813,hit,1.0
276,45952,miss,0.0
277,45952,hit,0.0
278,46180,hit,1.0
279,46426,hit,1.0
280,46629,hit,1.0
281,46797,hit,1.0
282,46937,hit,1.0
283,47054,hit,1.0
284,47155,miss,0.0
285,47155,hit,0.0
286,47240,hit,1.0
287,47555,hit,1.0
288,47812,hit,1.0
289,48023,hit,1.0
290,48203,miss,0.0
291,48203,hit,0.0
292,48440,hit,1.0
293,48696,hit,1.0
294,48906,hit,1.0
295,49080,hit,1.0
296,49225,hit,1.0
297,49346,hit,1.0
298,49451,miss,0.0
299,49451,hit,0.0
300,49521,hit,1.0
301,49780,hit,1.0
302,49994,hit,1.0
303,50170,hit,1.0
304,50317,hit,1.0
305,50440,hit,1.0
306,50543,hit,1.0
307,50629,hit,1.0
308,50702,hit,1.0
309,50764,hit,1.0
310,50818,miss,0.0
311,50818,hit,0.0
312,51034,hit,1.0
313,51269,hit,1.0
314,51462,hit,1.0
315,51623,hit,1.0
316,51757,hit,1.0
317,51869,hit,1.0
318,51963,hit,1.0
319,52042,hit,1.0
320,52109,hit,1.0
321,52166,hit,1.0
322,52214,hit,1.0
323,52256,miss,0.0
324,52256,hit,0.0
325,52326,hit,1.0
326,52585,hit,1.0
327,52799,hit,1.0
328,52975,hit,1.0
329,53122,hit,1.0
330,53245,hit,1.0
331,53348,hit,1.0
332,53434,hit,1.0
333,53507,hit,1.0
334,53569,hit,1.0
335,53621,hit,1.0
336,53665,hit,1.0
337,53704,miss,0.0
338,53704,hit,0.0
339,53779,hit,1.0
340,54055,hit,1.0
341,54282,hit,1.0
342,54469,hit,1.0
343,54624,hit,1.0
344,54754,hit,1.0
345,54863,hit,1.0
346,54955,hit,1.0
347,55032,hit,1.0
348,55099,miss,0.0
349,55099,hit,0.0
350,55341,hit,1.0
351,55602,hit,1.0
352,55817,hit,1.0
353,55995,hit,1.0
354,56143,hit,1.0
355,56267,hit,1.0
356,56374,miss,0.0
357,56374,hit,0.0
358,56448,hit,1.0
359,56722,hit,1.0
360,56947,hit,1.0
361,57133,hit,1.0
362,57288,hit,1.0
363,57417,hit,1.0
364,57525,hit,1.0
365,57615,hit,1.0
366,57692,hit,1.0
367,57759,miss,0.0
368,57759,hit,0.0
369,57975,hit,1.0
370,58210,hit,1.0
371,58403,hit,1.0
372,58564,hit,1.0
373,58698,hit,1.0
374,58810,hit,1.0
375,58904,hit,1.0
376,58986,miss,0.0
377,58986,hit,0.0
378,59244,hit,1.0
379,59522,hit,1.0
380,59751,hit,1.0
381,59940,hit,1.0
382,60097,hit,1.0
383,60232,miss,0.0
384,60232,hit,0.0
385,60448,hit,1.0
386,60683,hit,1.0
387,60876,hit,1.0
388,61037,hit,1.0
389,61171,hit,1.0
390,61283,hit,1.0
391,61377,hit,1.0
392,61459,miss,0.0
393,61459,hit,0.0
394,61532,hit,1.0
395,61804,hit,1.0
396,62027,hit,1.0
397,62211,hit,1.0
398,62364,hit,1.0
399,62492,hit,1.0
400,62599,hit,1.0
401,62692,miss,0.0
402,62692,hit,0.0
403,62918,hit,1.0
404,63163,hit,1.0
405,63365,hit,1.0
406,63532,hit,1.0
407,63671,hit,1.0
408,63788,hit,1.0
409,63889,miss,0.0
410,63889,hit,0.0
411,63973,hit,1.0
412,64283,hit,1.0
413,64536,hit,1.0
414,64744,hit,1.0
415,64916,hit,1.0
416,65064,miss,0.0
417,65064,hit,0.0
418,65138,hit,1.0
419,65411,hit,1.0
420,65635,hit,1.0
421,65820,hit,1.0
422,65973,hit,1.0
423,66101,hit,1.0
424,66208,hit,1.0
425,66301,miss,0.0
426,66301,hit,0.0
427,66388,miss,0.0
428,66464,hit,1.0
429,66746,hit,1.0
430,66977,hit,1.0
431,67168,hit,1.0
432,67327,hit,1.0
433,67463,miss,0.0
434,67463,hit,0.0
435,67718,hit,1.0
436,67992,hit,1.0
437,68217,hit,1.0
438,68403,hit,1.0
439,68558,hit,1.0
440,68691,miss,0.0
441,68691,hit,0.0
442,68936,hit,1.0
443,69201,hit,1.0
444,69418,hit,1.0
445,69598,hit,1.0
446,69747,hit,1.0
447,69872,hit,1.0
448,69980,miss,0.0
449,69980,hit,0.0
450,70231,hit,1.0
451,70502,hit,1.0
452,70724,hit,1.0
453,70907,hit,1.0
454,71060,hit,1.0
455,71188,hit,1.0
456,71299,miss,0.0
457,71299,hit,0.0
458,71369,hit,1.0
459,71628,hit,1.0
460,71841,hit,1.0
461,72017,hit,1.0
462,72164,hit,1.0
463,72287,hit,1.0
464,72390,hit,1.0
465,72476,hit,1.0
466,72551,miss,0.0
467,72551,hit,0.0
468,72627,hit,1.0
469,72907,hit,1.0
470,73136,hit,1.0
471,73325,hit,1.0
